"Автор (ы)","Author full names","Идентификатор автора(ов)","Название документа","Год","Название источника","Том","Выпуск","Статья №","Страница начала","Страница окончания","Цитирования","DOI","Ссылка","Организации","Авторы организаций","Краткое описание","Ключевые слова автора","Ключевые слова указателя","Сведения о финансировании","Текст о финансировании","Спонсоры","Название конференции","Дата конференции","Место проведения конференции","Код конференции","Тип документа","СТАДИЯ ПУБЛИКАЦИИ","Open Access (открытый доступ)","Источник","EID"
"Dauletbayeva, B.; Davletova, A.; Perlenbetov, M.; Sangilbaev, O.","Dauletbayeva, Bayan (60343118900); Davletova, Akmaral (58655653300); Perlenbetov, Mukhan (56366690100); Sangilbaev, Ospan Seydullaevich (55801246000)","60343118900; 58655653300; 56366690100; 55801246000","Working with Adolescent Autodestructive Behavior in Kazakhstan","2026","Journal of Forensic Psychology Research and Practice","","","","","","0","10.1080/24732850.2025.2612577","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105028130695&doi=10.1080%2F24732850.2025.2612577&partnerID=40&md5=72db5e78b8b3441d5aba08e5b9f19785","Department of Psychology, Turan University, Almaty, Almaty, Kazakhstan; SDU University, Kaskelen, Almaty, Kazakhstan; Department of Psychology, ""Q"" University, Almaty, Kazakhstan","Dauletbayeva, Bayan, Department of Psychology, Turan University, Almaty, Almaty, Kazakhstan; Davletova, Akmaral, SDU University, Kaskelen, Almaty, Kazakhstan; Perlenbetov, Mukhan, Department of Psychology, ""Q"" University, Almaty, Kazakhstan; Sangilbaev, Ospan Seydullaevich, Department of Psychology, Turan University, Almaty, Almaty, Kazakhstan","The purpose of the research is to determine the specific features of children’s mental development in puberty and the specifics of the development of destructive attitudes in them. The theoretical and methodological foundation of the scientific research was a combination of qualitative methods of structural and functional analysis of the problem of providing psychological help to pupils, an analytical approach to exploring the specific features of the development of autodestructive behavior in adolescents. The practical value of the obtained results consists in the possibility to use the highlighted approach early diagnosis and targeted psychological support to schoolchildren. © 2026 Taylor & Francis Group, LLC.","Loneliness; neuropsychiatric disorders; psychological correction; self-regulation; suicidal ideation; value system","","","","","","","","","Article","aip","","Scopus","2-s2.0-105028130695"
"Kurmanalina, S.; Samambayeva, A.; Akhtaeva, N.; Kozhageldiyeva, L.; Kosherbaeva, L.","Kurmanalina, Sandugash (59001355200); Samambayeva, Aizhan (57429272600); Akhtaeva, Nazgul S. (55755778000); Kozhageldiyeva, Laura H. (56431153100); Kosherbaeva, Lyazzat (56431206300)","59001355200; 57429272600; 55755778000; 56431153100; 56431206300","Awareness of Autism Spectrum Disorder Among Population of Kazakhstan","2025","Journal of Autism and Developmental Disorders","55","7","","2566","2572","2","10.1007/s10803-024-06350-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85191334630&doi=10.1007%2Fs10803-024-06350-1&partnerID=40&md5=b988f312c95bef0245d2e35b4c57e6a3","SDU University, Kaskelen, Almaty, Kazakhstan; Asfendiyarov Kazakh National Medical University, Almaty, Kazakhstan; ALimRE (Advancing learning through the innovation methods in research and education), Almaty oblast, Kazakhstan","Kurmanalina, Sandugash, Asfendiyarov Kazakh National Medical University, Almaty, Kazakhstan; Samambayeva, Aizhan, SDU University, Kaskelen, Almaty, Kazakhstan, ALimRE (Advancing learning through the innovation methods in research and education), Almaty oblast, Kazakhstan; Akhtaeva, Nazgul S., SDU University, Kaskelen, Almaty, Kazakhstan, Asfendiyarov Kazakh National Medical University, Almaty, Kazakhstan; Kozhageldiyeva, Laura H., SDU University, Kaskelen, Almaty, Kazakhstan; Kosherbaeva, Lyazzat, SDU University, Kaskelen, Almaty, Kazakhstan, Asfendiyarov Kazakh National Medical University, Almaty, Kazakhstan, ","Background: In recent years, an abundance of research has substantiated the escalating prevalence of Autism Spectrum Disorder (ASD) on a global scale. The aim to assess the level of awareness regarding ASD among the Kazakhstan population, as well as their readiness to offer help to individuals affected by ASD. Methods: A cross-sectional study was conducted encompassing individuals aged 18 years and above, using both the Russian and Kazakh languages. The survey was administered through Google Forms during April to June 2023. The link to survey was disseminated through WhatsApp chats of different social groups, including primary care specialists (general practitioners and nurses), and educators from primary and secondary schools from all 17 regions of Kazakhstan, spanning urban and rural areas. 410 participants took part in the survey in total. Statistical significance will be defined as p-values < 0.05. Results: Individuals aged 25 and above, who are both educated and employed, exhibit a greater awareness of ASD compared to other demographic groups. A low proportion of respondents (18.3%) demonstrated familiarity with the key symptoms of ASD as well as on its causes. Furthermore, it’s noteworthy that the primary resource for acquiring information about ASD was the internet for both of these regions. Conclusion: Low awareness on ASD symptoms and treatment methods was identified in both areas. There is a need to develop activities to increase the public awareness on ASD, including knowledge on early symptoms of ASD and facilities that address the needs of people on the ASD and their families. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.","Autism; Autism Spectrum Disorders; Awareness of Population; Kazakhstan","vaccine; adult; Article; attitude to health; autism; awareness; behavior therapy; child parent relation; cross-sectional study; demographics; educational status; employment status; female; friend; general practitioner; groups by age; health educator; health survey; high school; human; inclusive education; information source; Internet; Kazakhstan; male; middle aged; multiple regression; music therapy; nurse; occupational therapy; physiotherapy; population; primary medical care; primary school; prognosis; psychotrauma; rural area; rural population; social media; special education; tertiary education; urban area; urban population; adolescent; aged; psychology; questionnaire; young adult; Adolescent; Adult; Aged; Autism Spectrum Disorder; Cross-Sectional Studies; Female; Health Knowledge, Attitudes, Practice; Humans; Male; Middle Aged; Surveys and Questionnaires; Young Adult","Ministry of Education and Science of the Republic of Kazakhstan; (BR18574199)","Funding text 1: Increasing number of registered children with ASD in Kazakhstan had given the rise to different non-governmental non-for-profit and private entities that concentrate their effort to increase the awareness, knowledge about ASD and acquire skills to adapt children with ASD to community ( https://utemuratovfund.org/en/projects/ve6shve7 ; https://aruzhansain.kz/proekty/proekt-autizm-pobedim/ ; http://www.autism.kz/ ; MobApp: ozimplatform.com). The Project \u00ABIntegrating children with autism spectrum disorder into the social and educational environment based on comprehensive support: challenges and benefits\u00BB funded by the Ministry of Science and Higher Education of republic of Kazakhstan has also been launched in 2023. This project aims to establish an informative and educational platform available in both Kazakh and Russian languages (autismbirge.kz). Investigating the primary sources through which people learn about ASD can help identify the most effective channels for disseminating accurate information, especially considering Kazakhstan\u2019s vast geographical area and the digital divide between urban and rural populations. Moreover, focusing on awareness of ASD symptoms, causes, and treatment reflects the study\u2019s aim to identify gaps in public knowledge. This is crucial for tailoring educational initiatives that can address specific misconceptions and improve overall understanding. The platform\u2019s core objectives encompass the provision of evidence-based information concerning ASD to parents of children affected by ASD, employers, and the public. Nevertheless, prior to the development of the platforms, researchers encounter the crucial task of evaluating the level of awareness within the Kazakhstan population concerning ASD and their inclination to offer assistance. This study is dedicated to fulfilling this aim.; Funding text 2: This research has been funded by the Science Committee of the Ministry of Science and Higher education of the Republic of Kazakhstan (Grant No. BR18574199 \u00ABIntegrating children with autism spectrum disorder into the social and educational environment based on comprehensive support: challenges and benefits\u00BB).","","","","","","Article","Final","","Scopus","2-s2.0-85191334630"
"Bekturova, M.; Gaipov, D.; Dyankova, G.H.; Tulepova, S.","Bekturova, Madina B. (58080607100); Gaipov, Davronzhon Erkinovich (57201636984); Dyankova, Gergana (57208443778); Tulepova, Saule B. (58081046400)","58080607100; 57201636984; 57208443778; 58081046400","Examining Multimodal Literacy Skills Among EMI Teachers in Kazakhstan","2025","International Journal of Cognitive Research in Science, Engineering and Education","13","1","","123","145","0","10.23947/2334-8496-2025-13-1-217-222","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005113490&doi=10.23947%2F2334-8496-2025-13-1-217-222&partnerID=40&md5=17769122fad5703254ee6b4cfea76849","Department of Language Education, SDU University, Kaskelen, Almaty, Kazakhstan; Department of Preschool and Primary School Education, South-West University Neofit Rilski, Blagoevgrad, Bulgaria","Bekturova, Madina B., Department of Language Education, SDU University, Kaskelen, Almaty, Kazakhstan; Gaipov, Davronzhon Erkinovich, Department of Language Education, SDU University, Kaskelen, Almaty, Kazakhstan; Dyankova, Gergana, Department of Preschool and Primary School Education, South-West University Neofit Rilski, Blagoevgrad, Bulgaria; Tulepova, Saule B., Department of Language Education, SDU University, Kaskelen, Almaty, Kazakhstan","The integration of English as a Medium of Instruction (EMI) in Kazakhstani universities necessitates effective multimodal communication in teaching. However, limited research has explored EMI instructors’ multimodal literacy—their ability to utilize verbal, visual, and textual elements to enhance instruction. This study investigates the relationship between EMI instructors’ ability to express and interpret multimodal content and their preference for multimodal communication in teaching at a Kazakhstani university. A quantitative research design was employed, utilizing a validated survey instrument to assess 120 teachers’ multimodal literacy levels in one Kazakhstani university. The collected data underwent reliability analysis, descriptive statistics, and Pearson correlation analysis to examine the relationships among multimodal expression, interpretation, and preference. The results indicate that while teachers acknowledge the value of multimodal approaches, they encounter significant challenges in integrating them effectively. Variations in internal consistency suggest that certain aspects of multimodal communication remain difficult to master. Additionally, the findings reveal that teachers who demonstrate strong multimodal interpretation skills do not necessarily prefer using such methods in teaching. These findings suggest a gap between EMI instructors’ multimodal literacy and their instructional preferences, highlighting the need for targeted faculty development programs that enhance multimodal teaching strategies. © 2025 by the authors.","English as a medium of instruction; higher education; Multimodal Literacy Scale; multimodal training; university teachers","","Ministry of Education and Science of the Republic of Kazakhstan, (IRN AP 19676131)","This research project is funded by the Ministry of Higher Education and Science of the Republic of Kazakhstan under \u201CIRN AP 19676131\u201D state funding grant.","","","","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105005113490"
"Orynbassarov, D.; Maulen, A.; Rollan, K.","Orynbassarov, Darkhan (58059588400); Maulen, Abdidauitkozha (60141666500); Rollan, Kamila (57208188342)","58059588400; 60141666500; 57208188342","Teachers’ Perspectives on Educational Inclusion of Students with SEND and Their Transition to the Labour Market in Almaty, Kazakhstan","2025","International Journal of Disability, Development and Education","","","","","","0","10.1080/1034912X.2025.2571766","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105018824077&doi=10.1080%2F1034912X.2025.2571766&partnerID=40&md5=6ac3bc71f1b160824b15bea67f05410b","Faculty of Law and Social Sciences, SDU University, Kaskelen, Almaty, Kazakhstan; Department of Doctoral Studies, Narxoz University, Almaty, Kazakhstan; Faculty of Education and Humanities, SDU University, Kaskelen, Almaty, Kazakhstan","Orynbassarov, Darkhan, Faculty of Law and Social Sciences, SDU University, Kaskelen, Almaty, Kazakhstan, Department of Doctoral Studies, Narxoz University, Almaty, Kazakhstan; Maulen, Abdidauitkozha, Department of Doctoral Studies, Narxoz University, Almaty, Kazakhstan; Rollan, Kamila, Faculty of Education and Humanities, SDU University, Kaskelen, Almaty, Kazakhstan","This study explores Kazakhstani teachers’ perceptions of inclusive education (IE) practices and challenges in supporting students with special educational needs and disabilities (SEND) transitioning to the workforce. Using a combination of sampling methods, the study surveyed 59 teachers with experience in inclusive classrooms in Almaty, the country’s largest metropolis. Findings highlight several barriers to IE implementation, including limited resources and large class sizes, and insufficient workforce preparation for SEND students. Teachers also report difficulties in providing individualised support within mainstream classrooms and often suggest specialised settings as a practical alternative. The study stresses the teachers’ dual roles as advocates for inclusivity and, at times, gatekeepers constrained by systemic limitations. Recommendations include structured workforce preparation programs, reduced class sizes, and enhanced professional development for teachers. These insights contribute to ongoing discussions on inclusive education and suggest potential improvements in policy and practice, aligning with global trends supporting SEND students’ labour market inclusion. © 2025 Informa UK Limited, trading as Taylor & Francis Group.","Inclusive education; special educational needs and disabilities; teachers’ perspectives; transition to employment","","","","","","","","","Article","aip","","Scopus","2-s2.0-105018824077"
"Moldashev, K.; Sahimbekov, B.; Kozhakhmet, S.","Moldashev, Kairat (57195416591); Sahimbekov, Birzhan (59672625300); Kozhakhmet, Sanat (57193951441)","57195416591; 59672625300; 57193951441","The institutional logics of research commercialisation: Reform, misalignment, and hybridisation","2025","Social Sciences and Humanities Open","12","","102000","","","2","10.1016/j.ssaho.2025.102000","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105015885886&doi=10.1016%2Fj.ssaho.2025.102000&partnerID=40&md5=5223150127dc1a3058fea9086f6d6bb2","SDU University, Kaskelen, Almaty, Kazakhstan; Narxoz University, Almaty, Kazakhstan; Oxford Brookes Business School, Oxford, Oxfordshire, United Kingdom","Moldashev, Kairat, SDU University, Kaskelen, Almaty, Kazakhstan; Sahimbekov, Birzhan, Narxoz University, Almaty, Kazakhstan; Kozhakhmet, Sanat, Oxford Brookes Business School, Oxford, Oxfordshire, United Kingdom","This study uses institutional logics theory to explore the dynamics of research commercialisation in Kazakhstan. It offers a novel perspective on the interaction between universities, industry, and the state in a post-Soviet context. While Kazakhstan's policy discourse reflects a shift toward the Triple Helix model, empirical evidence shows a persistence of statist structures, fragmented policies, and institutional misalignments that hinder authentic collaboration. Drawing on 18 qualitative interviews with researchers, technology transfer staff, and industry representatives, the study demonstrates how competing institutional logics, academic, state, market, and managerial, shape actors' expectations, roles, and strategic responses. It finds that universities remain dominated by academic and bureaucratic norms, while industry actors often pursue short-term goals, lacking absorptive capacity and risk appetite. Despite recent reforms promoting industry engagement through increased requirements for co-financing research commercialisation projects, institutional contradictions lead to symbolic compliance rather than effective partnerships. The study also highlights emerging hybrid practices efforts but argues that deeper alignment of logics and systemic support mechanisms is needed for sustainable transformation. © 2025 The Authors","Innovation policy; Institutional logics; Post-soviet; Research commercialisation; Triple helix","","World Bank Group, WBG; Ministry of Education and Science of the Republic of Kazakhstan, (BR21882077); Ministry of Education and Science of the Republic of Kazakhstan","Funding text 1: Alongside initiatives such as business incubators and technoparks, several attempts were made to boost research commercialisation through grants supported by the World Bank in the 2010s (Guimon, 2017). Since 2022, the Kazakh government has embarked on an ambitious effort to revamp its science and technology (S&T) policy. Central to these reforms has been dividing the Ministry of Education and Science (responsible both for tertiary and school education) into two bodies, assigning higher education to a dedicated Ministry of Science and Higher Education; transferring regulative authority from the Prime Minister's Office to the ministerial level; increasing state funding; and shifting priority towards funding applied research and commercialisation. The government re-launched annual calls for the previously paused commercialisation grant program with new demands for university-industry cooperation.This work was supported by the Science Committee of the Ministry of Science and Higher Education of the Republic of Kazakhstan (Grant number BR21882077).; Funding text 2: This work was supported by the Science Committee of the Ministry of Science and Higher Education of the Republic of Kazakhstan (Grant number BR21882077 ).","","","","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105015885886"
"Tursynova, B.; Kopbayeva, A.; Malikova, A.; Akhmetov, Z.","Tursynova, Balzhan (59535415400); Kopbayeva, Aizhan (59534965400); Malikova, Aigul (59535415500); Akhmetov, Zhassulan M. (57573212400)","59535415400; 59534965400; 59535415500; 57573212400","Contractual relationships of social entrepreneurs in the healthcare sector in Kazakhstan","2024","Social and Legal Studios","7","4","","69","78","2","10.32518/sals4.2024.69","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85216477861&doi=10.32518%2Fsals4.2024.69&partnerID=40&md5=0279f5b06546c2198c61e6415dbe95b7","SDU University, Kaskelen, Almaty, Kazakhstan","Tursynova, Balzhan, SDU University, Kaskelen, Almaty, Kazakhstan; Kopbayeva, Aizhan, SDU University, Kaskelen, Almaty, Kazakhstan; Malikova, Aigul, SDU University, Kaskelen, Almaty, Kazakhstan; Akhmetov, Zhassulan M., SDU University, Kaskelen, Almaty, Kazakhstan","The purpose of this study was to study of features and evaluate the contractual relations of social entrepreneurship entities working in the field of healthcare in Kazakhstan to cover their contribution to improving the quality of medical services, as well as their accessibility to the population. The study employed the following methods of cognition: system approach, comparative legal method, and hermeneutic method. The study considered the legislation of the Republic of Kazakhstan in the field of social entrepreneurship and healthcare, the basis of their contractual cooperation. It was found that regulations prescribe certain measures of state support for individual entrepreneurs and organisations engaged in social entrepreneurship. These include tax incentives to encourage employment initiatives, priority rights to take part in public procurement, and the possibility of receiving grants and microcredits. However, it should be emphasised that these measures are fragmented and informal, which in general does not contribute to the structural and systemic development of social entrepreneurship. Regarding contractual relations, it was found that the basis of social entrepreneurs’ involvement in state social contracts is through contracts for the provision of services or goods, as well as the conclusion of outsourcing contracts. The study analysed cases of social entrepreneurship in Kazakhstan, their specific features and problems. The study concluded that social entrepreneurship in Kazakhstan is a modern economic trend, despite the presence of relevant legislation, it faces a range of problems that hinder its development. The practical significance of this study is to provide an in-depth understanding of the structure and effectiveness of social entrepreneursʼ interaction in this field and highlight concrete practical aspects that contribute to the development and optimisation of social entrepreneurship in healthcare in the Kazakh economic environment. © The Author(s).","business support; collective projects; crowdfunding; non-profit organisations; public problems","","","","","","","","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85216477861"
"Cordaro, D.T.; Zhang, J.W.; Zhao, Y.; Yastıoğlu, S.; Erhan, T.; Cao, M.","Cordaro, Daniel T. (51763570800); Zhang, Jiawei (55111063800); Zhao, Yitong (57211941525); Yastıoğlu, Seher (57894658000); Erhan, Tuğba (57356491400); Cao, Meng (57217054702)","51763570800; 55111063800; 57211941525; 57894658000; 57356491400; 57217054702","The adaptation and validation of the Turkish Positive Emotion Assessment of Contentment Experience (PEACE) Scale","2024","Current Psychology","43","43","","33265","33281","0","10.1007/s12144-024-06852-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85211329029&doi=10.1007%2Fs12144-024-06852-2&partnerID=40&md5=6a4f990aa7d81651a3c685601565b821","The Contentment Foundation, Santa Monica, CA, United States; College of Arts & Sciences, Memphis, TN, United States; Department of Psychology, University of Toronto, Toronto, ON, Canada; Department of Management and Organization, Burdur Mehmet Akif Ersoy Üniversitesi, Burdur, Turkey; Department of Economics and Business, SDU University, Kaskelen, Almaty, Kazakhstan","Cordaro, Daniel T., The Contentment Foundation, Santa Monica, CA, United States; Zhang, Jiawei, College of Arts & Sciences, Memphis, TN, United States; Zhao, Yitong, Department of Psychology, University of Toronto, Toronto, ON, Canada; Yastıoğlu, Seher, Department of Management and Organization, Burdur Mehmet Akif Ersoy Üniversitesi, Burdur, Turkey; Erhan, Tuğba, Department of Economics and Business, SDU University, Kaskelen, Almaty, Kazakhstan; Cao, Meng, College of Arts & Sciences, Memphis, TN, United States","The emotion, contentment, arises from the perception of completeness in life. The current work aims to adapt and validate the Positive Emotion Assessment of Contentment Experience (PEACE) scale for Turkish language speakers. Data were collected online from two samples of Turkish adults to examine the construct validity, criterion validity, and internal consistency of the adapted scale. Exploratory and confirmatory factor analyses confirmed the expected single-factor structure. Furthermore, reliability tests and item analysis indicated good internal consistency (α = 0.94, ω = 0.94). All 15 items discriminated between groups with higher and lower scores. In addition, the scale has good convergent validities (CR = 0.94, AVE = 0.52) as shown by its correlations with lower affective symptoms, as well as higher unconditional self-acceptance and life satisfaction. Finally, measurement invariance was performed based on gender. Findings showed that the Turkish PEACE scale is a valid and reliable measurement instrument with strong psychometric properties, contributing to the development of diverse and inclusive cultural tools worldwide. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.","Contentment; Life satisfaction; Positive emotion; Unconditional self-acceptance; Well-being","","","","","","","","","Article","Final","","Scopus","2-s2.0-85211329029"
"Assanbayeva, A.; Dauletkulova, D.; Kaiyr, K.; Dayana, K.; Kairden, B.; Akzhan, A.","Assanbayeva, Gulzhaukhar (58552437500); Dauletkulova, Aigul Utegenovna (57211665281); Kaiyr, Aizada (57238778700); Dayana, Kadyr (59245771600); Kairden, Bayetov (59245982500); Akzhan, Akhatay (59245771700)","58552437500; 57211665281; 57238778700; 59245771600; 59245982500; 59245771700","The influence of teachers’ statistics knowledge on the academic performance of high school students in math lessons","2024","International Journal of Education and Practice","12","3","","574","583","0","10.18488/61.v12i3.3732","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85200418699&doi=10.18488%2F61.v12i3.3732&partnerID=40&md5=5027a9e0af36817e1615f3e16290c971","Department of Science and Mathematics Education, SDU University, Kaskelen, Almaty, Kazakhstan; Department of Mathematics, Kazakh National Women‘s Teacher Training University, Almaty, Kazakhstan; Department of Mathematics and Physics, Korkyt Ata Kyzylorda State University, Kyzylorda, Kyzylorda, Kazakhstan","Assanbayeva, Gulzhaukhar, Department of Science and Mathematics Education, SDU University, Kaskelen, Almaty, Kazakhstan; Dauletkulova, Aigul Utegenovna, Department of Science and Mathematics Education, SDU University, Kaskelen, Almaty, Kazakhstan; Kaiyr, Aizada, Department of Science and Mathematics Education, SDU University, Kaskelen, Almaty, Kazakhstan; Dayana, Kadyr, Department of Science and Mathematics Education, SDU University, Kaskelen, Almaty, Kazakhstan; Kairden, Bayetov, Department of Mathematics, Kazakh National Women‘s Teacher Training University, Almaty, Kazakhstan; Akzhan, Akhatay, Department of Mathematics and Physics, Korkyt Ata Kyzylorda State University, Kyzylorda, Kyzylorda, Kazakhstan","Statistics and probability is one branch of mathematics with numerous conceivable outcomes and problem-solving circumstances that require a basic problem-solving aptitude. The purpose of this study is to determine the need for high school mathematics teachers to teach statistics and probability, which would serve as a basis for improving the level of teaching statistics and mathematics in general. A descriptive research method was applied in this study, and a two-part survey was employed as the primary method of data collection. A total of 34 secondary school mathematics teachers from 23 private and public secondary schools in Kazakhstan acted as respondents to answer a specially designed questionnaire. The mean value, percentage of frequency, standard deviations, correlation, regression, percentage of correct answers and average percentage scores were used. Based on the responses, the respondents have a low level of knowledge regarding the content of statistics, but their students have satisfactory results in statistics and mathematics. The results of this study will give scientists an idea of how to improve the level of training of mathematics teachers. In addition, since higher educational institutions are engaged in the training of mathematics teachers, they need to think about the methodology of teaching statistics, as well as teacher training institutes, to adapt courses and seminars for teachers. © 2024 Conscientia Beam. All Rights Reserved.","Content knowledge; Descriptive statistics; High school assessment; Mathematics teacher; Statistical knowledge; Statistical literacy; Statistics curriculum","","","","","","","","","Article","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85200418699"
"Arık, E.; Ince, M.; Koçak, M.C.; Bilişli, Y.; Karataş, E.O.; Akgün, H.; Aşlakçı, F.","Arık, Emel (57102941400); Ince, Levent (17338652700); Koçak, Mevlüt Can (59415662700); Bilişli, Yasemin (58956216100); Karataş, Emrah Onur (59416146400); Akgün, Hakkı (57245656500); Aşlakçı, Faruk (59416146500)","57102941400; 17338652700; 59415662700; 58956216100; 59416146400; 57245656500; 59416146500","Communication dynamics and media interactions of young adults who have attempted suicide: a qualitative thematic analysis","2024","Frontiers in Psychology","15","","1460348","","","2","10.3389/fpsyg.2024.1460348","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85209551851&doi=10.3389%2Ffpsyg.2024.1460348&partnerID=40&md5=a73da2a5767cc40a0baf37d76cc735f3","Department of Journalism, Akdeniz Üniversitesi, Antalya, Turkey; Department of Journalism, Karabük Üniversitesi, Karabuk, Turkey; Department of Radio, Karabük Üniversitesi, Karabuk, Turkey; Department of Office Services and Secretariat, Akdeniz Üniversitesi, Antalya, Turkey; Department of Journalism, SDU University, Kaskelen, Almaty, Kazakhstan","Arık, Emel, Department of Journalism, Akdeniz Üniversitesi, Antalya, Turkey; Ince, Levent, Department of Journalism, Karabük Üniversitesi, Karabuk, Turkey; Koçak, Mevlüt Can, Department of Radio, Karabük Üniversitesi, Karabuk, Turkey; Bilişli, Yasemin, Department of Office Services and Secretariat, Akdeniz Üniversitesi, Antalya, Turkey; Karataş, Emrah Onur, Department of Journalism, Akdeniz Üniversitesi, Antalya, Turkey; Akgün, Hakkı, Department of Journalism, SDU University, Kaskelen, Almaty, Kazakhstan; Aşlakçı, Faruk, Department of Journalism, Karabük Üniversitesi, Karabuk, Turkey","Objective: The study examines the potential effects of communication processes and media consumption habits on suicide ideation among male and female young adults aged 18–29 who have attempted suicide at least once. Methods: In-depth interviews were analyzed using MAXQDA Analytics Pro 2024, and thematic analysis was applied according to Braun and Clarke’s model. Results: Four themes emerged: (1) Family-related factors, (2) sociopsychological factors, (3) sociocultural factors, and (4) media-related factors. Regarding family-related factors, most participants come from broken family structures and commonly report issues with family communication and experiences of violence. Regarding sociopsychological factors, anger issues, despair, and addictions among participants were observed to increase suicide tendencies. Regarding sociocultural factors, most participants expressed difficulties in conforming to society and feeling pressures from cultural or religious expectations. Regarding media-related factors, it was noted that a vast majority of participants spend long hours consuming media daily and frequently interact with content that leads them into adverse emotional states, primarily for time passing on social media platforms. Discussion: This research not only reinforces information in the literature but also presents unique findings compared to similar studies, particularly in cultural and geographical contexts. The results uniquely highlight the diversity in perceptions of the relationship between religion and suicide. While literature generally notes religion as a deterrent to suicide, this study reveals that intense religious pressure could increase suicidal tendencies through effects like rejection and hatred of religious values. Media also plays a reinforcing role in this context. Conclusion: In conclusion, this study elucidates the complex interactions underlying suicide attempts among young adults and provides a solid foundation for policies and interventions aimed at better managing media interactions, which play a critical role in suicide prevention efforts. © © 2024 Arık, İnce, Koçak, Bilişli, Karataş, Akgün and Aşlakçı.","communication dynamics; digital media usage; media interaction; qualitative research; suicidal tendencies; suicide attempt; thematic analysis; young adults","","","","","","","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85209551851"
"Abdulbakioglu, M.; Kolushpayeva, A.; Balta, N.; Japashov, N.; Bae, C.L.","Abdulbakioglu, Mustafa (57215689064); Kolushpayeva, Anar T. (57942079200); Balta, Nuri (56577982000); Japashov, Nursultan M. (59549248700); Bae, Christine Lee (57196347070)","57215689064; 57942079200; 56577982000; 59549248700; 57196347070","Open Lesson as a Means of Teachers’ Learning","2022","Education Sciences","12","10","692","","","4","10.3390/educsci12100692","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85140605441&doi=10.3390%2Feducsci12100692&partnerID=40&md5=3f88fda0c0135368280c83c1e26fcba2","Department of Pedagogy of Natural Sciences, SDU University, Kaskelen, Almaty, Kazakhstan; School of Politics and Law, Almaty Management University, Almaty, Kazakhstan; Department of Solid State Physics and Nonlinear Physics, Al Farabi Kazakh National University, Almaty, Kazakhstan; Department of Physics, Nazarbayev Intellectual School of Chemistry and Biology, Almaty, Kazakhstan; School of Education, Virginia Commonwealth University, Richmond, VA, United States","Abdulbakioglu, Mustafa, Department of Pedagogy of Natural Sciences, SDU University, Kaskelen, Almaty, Kazakhstan; Kolushpayeva, Anar T., School of Politics and Law, Almaty Management University, Almaty, Kazakhstan; Balta, Nuri, Department of Pedagogy of Natural Sciences, SDU University, Kaskelen, Almaty, Kazakhstan; Japashov, Nursultan M., Department of Pedagogy of Natural Sciences, SDU University, Kaskelen, Almaty, Kazakhstan, Department of Solid State Physics and Nonlinear Physics, Al Farabi Kazakh National University, Almaty, Kazakhstan, Department of Physics, Nazarbayev Intellectual School of Chemistry and Biology, Almaty, Kazakhstan; Bae, Christine Lee, School of Education, Virginia Commonwealth University, Richmond, VA, United States","Open lesson (OL), similar to the Japanese lesson study in many aspects, is a professional development model regularly used in schools in the Commonwealth of Independent States Countries. The purpose of this study was to examine teachers’ and students’ attitudes and beliefs about OL practices and activities, using both quantitative and qualitative methods. The sample consisted of 72 instructors and 239 university students in Kazakhstan. MANOVA results from teacher data and student data indicated weak positive attitudes and beliefs about OL. Moreover, no differences were found between the gender, discipline, nationality, and teaching experience of teachers, while students learning social sciences showed stronger positive attitudes and beliefs about the effect of OL on learning when compared to students learning natural sciences. Slightly positive attitudes and beliefs of participants imply that OL implementations in schools should be reconsidered. © 2022 by the authors.","lesson study; open lesson; teacher professional development; teaching practice","","","","","","","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85140605441"
