"Автор (ы)","Author full names","Идентификатор автора(ов)","Название документа","Год","Название источника","Том","Выпуск","Статья №","Страница начала","Страница окончания","Цитирования","DOI","Ссылка","Организации","Авторы организаций","Краткое описание","Ключевые слова автора","Ключевые слова указателя","Сведения о финансировании","Текст о финансировании","Спонсоры","Название конференции","Дата конференции","Место проведения конференции","Код конференции","Тип документа","СТАДИЯ ПУБЛИКАЦИИ","Open Access (открытый доступ)","Источник","EID"
"Yıldız, G.; Ceyhan, D.","Yıldız, Gizem (59655049100); Ceyhan, Derya (26639152900)","59655049100; 26639152900","Knowledge, awareness, attitudes and experiences of parents of dental patients regarding child abuse and neglect","2025","BMC Oral Health","25","1","305","","","0","10.1186/s12903-025-05647-6","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218859325&doi=10.1186%2Fs12903-025-05647-6&partnerID=40&md5=cad02c9187520036fe46662533ec4471","Isparta Oral and Dental Health Center, Isparta, Isparta, Turkey; Department of Pediatric Dentistry, SDU University, Kaskelen, Almaty, Kazakhstan","Yıldız, Gizem, Isparta Oral and Dental Health Center, Isparta, Isparta, Turkey; Ceyhan, Derya, Department of Pediatric Dentistry, SDU University, Kaskelen, Almaty, Kazakhstan","Background: The aim of this study was to evaluate the knowledge, awareness, attitudes and experiences of child abuse and neglect as a whole among parents of dental patients. It was also aimed to evaluate the parents’ knowledge of dental neglect and to associate it with their children’s intraoral findings. Methods: The study included volunteer 390 parents and their children who applied to the Department of Pedodontics of Faculty of Dentistry at Suleyman Demirel University for the examination or treatment of their children without special health care needs and between ages of 3–18 years. An information form was employed to ascertain sociodemographic characteristics, level of knowledge, attitudes and experiences of parents in relation to child abuse and neglect. ‘Child Neglect and Abuse Awareness Scale for Parents’ was used for evaluating parental awareness of child abuse and neglect. Medical status, medication use and tooth brushing frequency of the children included in the study were recorded. DMFT/DMFS, dft/dfs and PUFA/pufa (the clinical oral mucosal consequences of untreated caries in permanent and primary teeth) index scores were determined through the intraoral examinations. The relationships between the scale scores and other quantitative variables were analysed by Pearson Correlation analysis. Independent Sample T test was used for two group mean comparisons and One Way Analysis of Variance was used for more than two group comparisons. Results: Parents demonstrated a moderate level of awareness regarding child abuse and neglect. Fathers demonstrated a higher level of general awareness than mothers. The awareness of emotional abuse exhibited a positive correlation with parental age and the number of children. A greater awareness of sexual abuse was observed among parents with male children. Mothers who graduated from primary education and fathers who graduated from secondary education had higher awareness of emotional abuse than parents with undergraduate and graduate education. Mothers who were unemployed or self-employed and fathers who were employee or self-employed were found to be more aware of emotional abuse than those who were civil servants. A greater awareness of emotional abuse was observed among parents with very low monthly income levels compared to those with higher income levels. Dental neglect questions were found to be associated with pufa, DMFT and DMFS indices (p < 0.05). Conclusion: Child abuse and neglect was known by the majority of parents, with moderate awareness and low experience. The least known type of neglect with low awareness was dental neglect. Questions about dental neglect were related to oral and dental health indices. There is a need for community-specific education programmes and further research. © The Author(s) 2025.","Child abuse; Child neglect; Dental neglect; Knowledge level; Parents","adolescent; adult; attitude to health; child; child abuse; child parent relation; dental caries; DMF index; educational status; father; female; human; male; middle aged; mother; preschool child; psychology; sex factor; tooth brushing; Adolescent; Adult; Attitude to Health; Child; Child Abuse; Child, Preschool; Dental Caries; DMF Index; Educational Status; Fathers; Female; Health Knowledge, Attitudes, Practice; Humans; Male; Middle Aged; Mothers; Parents; Sex Factors; Toothbrushing","","","","","","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85218859325"
"Fentoǧlu, Ö.; Kirzioʇlu, F.Y.; Bulut, M.T.; Doʇuç, D.K.; Ergönül, E.; Önder, C.; Günhan, M.","Fentoǧlu, Özlem (16836087000); Kirzioʇlu, F. Yeşim (56611887100); Bulut, Memduha Tözüm (56611537200); Doʇuç, Duygu Kumbul (56612046600); Ergönül, Esin (6507177831); Önder, Canan (56611642000); Günhan, Meral (6602102388)","16836087000; 56611887100; 56611537200; 56612046600; 6507177831; 56611642000; 6602102388","Evaluation of lipid peroxidation and oxidative DNA damage in patients with periodontitis and hyperlipidemia","2015","Journal of Periodontology","86","5","","682","688","49","10.1902/jop.2015.140561","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84928750261&doi=10.1902%2Fjop.2015.140561&partnerID=40&md5=2f09ca127bb9255c83a4db975989b1e7","Department of Periodontology, Süleyman Demirel Üniversitesi, Isparta, Isparta, Turkey; Department of Biochemistry, SDU University, Kaskelen, Almaty, Kazakhstan; Department of Medical Education and Informatics, SDU University, Kaskelen, Almaty, Kazakhstan; Department of Periodontology, Ankara Üniversitesi, Ankara, Turkey","Fentoǧlu, Özlem, Department of Periodontology, Süleyman Demirel Üniversitesi, Isparta, Isparta, Turkey; Kirzioʇlu, F. Yeşim, Department of Periodontology, Süleyman Demirel Üniversitesi, Isparta, Isparta, Turkey; Bulut, Memduha Tözüm, Department of Periodontology, Süleyman Demirel Üniversitesi, Isparta, Isparta, Turkey; Doʇuç, Duygu Kumbul, Department of Biochemistry, SDU University, Kaskelen, Almaty, Kazakhstan; Ergönül, Esin, Department of Medical Education and Informatics, SDU University, Kaskelen, Almaty, Kazakhstan; Önder, Canan, Department of Periodontology, Ankara Üniversitesi, Ankara, Turkey; Günhan, Meral, Department of Periodontology, Ankara Üniversitesi, Ankara, Turkey","Background: The purpose of this study is to determine the serum levels of malondialdehyde (MDA), as a lipid peroxidation marker, and 8-hydroxydeoxyguanosine (8-OHdG), as an oxidative DNA damage marker, in patients with chronic periodontitis (CP) and hyperlipidemia. Methods: A total of 74 individuals were divided into four age- and sex-matched groups: 18 patients with hyperlipidemia and CP (HLp), 18 periodontally healthy patients with hyperlipidemia (HLh), 19 systemically healthy individuals with CP (Cp), and 19 systemically and periodontally healthy controls (Ch). Clinical periodontal parameters were measured, and serum lipids, MDA, and 8-OHdG levels were assessed in blood samples. Results: 8-OHdG, MDA, probing depth, clinical attachment level, and percentage of sites bleeding on probing (BOP) were significantly higher in the HLp group than the Cp group. In the hyperlipidemic group, BOP was significantly correlated with total cholesterol, the ratio of total cholesterol to high-density lipoprotein cholesterol, and 8-OHdG levels. A significant correlation between 8-OHdG and MDA was also observed in the hyperlipidemia group. Conclusions: In this study, serum MDA and 8-OHdG were found to be highest in the HLp group. The increased levels of MDA and 8-OHdG in HLp patients may be a result of a harmful oxidative status in association with hyperlipidemia and periodontitis. © 2015, American Academy of Periodontology. All rights reserved.","Chronic periodontitis; Deoxyguanosine; Hyperlipidemias; Lipids; Malondialdehyde; Oxidative stress","8-oxo-7-hydrodeoxyguanosine; biological marker; cholesterol; deoxyguanosine; high density lipoprotein cholesterol; low density lipoprotein cholesterol; malonaldehyde; triacylglycerol; very low density lipoprotein cholesterol; adult; aged; alveolar bone loss; analogs and derivatives; blood; case control study; chronic periodontitis; comparative study; DNA damage; female; genetics; human; hyperlipidemia; lipid peroxidation; male; middle aged; oxidative stress; periodontal disease; periodontal index; periodontal pocket; physiology; Adult; Aged; Alveolar Bone Loss; Biomarkers; Case-Control Studies; Cholesterol; Cholesterol, HDL; Cholesterol, LDL; Cholesterol, VLDL; Chronic Periodontitis; Deoxyguanosine; DNA Damage; Female; Humans; Hyperlipidemias; Lipid Peroxidation; Male; Malondialdehyde; Middle Aged; Oxidative Stress; Periodontal Attachment Loss; Periodontal Index; Periodontal Pocket; Triglycerides","","","","","","","","Article","Final","","Scopus","2-s2.0-84928750261"
"Tonguç, M.O.; Öztürk, O.; Sütcxü, R.; Ceyhan, B.M.; Gizem, K.; SÖnmez, Y.; Yetkin-Ay, Z.Y.; Sxahin, U.; Baltacioǧlu, E.; Kırzıoğlu, F.Y.","Tonguç, Mine Öztürk (37004032600); Öztürk, Önder (13007095800); Sütcxü, Recep (50861928700); Ceyhan, Betül Mermi (37037006900); Gizem, Kilincx (50861635500); SÖnmez, Yonca (36129891300); Yetkin-Ay, Zuhal (56613939500); Sxahin, Ünal (50862343300); Baltacioǧlu, Esra (13605297500); Kırzıoğlu, Fatma Yeşim (36682401900)","37004032600; 13007095800; 50861928700; 37037006900; 50861635500; 36129891300; 56613939500; 50862343300; 13605297500; 36682401900","The impact of smoking status on antioxidant enzyme activity and malondialdehyde levels in chronic periodontitis","2011","Journal of Periodontology","82","9","","1320","1328","57","10.1902/jop.2011.100618","https://www.scopus.com/inward/record.uri?eid=2-s2.0-80053023508&doi=10.1902%2Fjop.2011.100618&partnerID=40&md5=1ade0bf38b94c6c0fa522d49696506d0","Department of Periodontology, Süleyman Demirel Üniversitesi, Isparta, Isparta, Turkey; Department of Chest Diseases, SDU University, Kaskelen, Almaty, Kazakhstan; Department of Biochemistry, SDU University, Kaskelen, Almaty, Kazakhstan; Department of Public Health, SDU University, Kaskelen, Almaty, Kazakhstan; Department of Periodontology, Karadeniz Technical University, Trabzon, Trabzon, Turkey","Tonguç, Mine Öztürk, Department of Periodontology, Süleyman Demirel Üniversitesi, Isparta, Isparta, Turkey; Öztürk, Önder, Department of Chest Diseases, SDU University, Kaskelen, Almaty, Kazakhstan; Sütcxü, Recep, Department of Biochemistry, SDU University, Kaskelen, Almaty, Kazakhstan; Ceyhan, Betül Mermi, Department of Biochemistry, SDU University, Kaskelen, Almaty, Kazakhstan; Gizem, Kilincx, Department of Periodontology, Süleyman Demirel Üniversitesi, Isparta, Isparta, Turkey; SÖnmez, Yonca, Department of Public Health, SDU University, Kaskelen, Almaty, Kazakhstan; Yetkin-Ay, Zuhal, Department of Periodontology, Süleyman Demirel Üniversitesi, Isparta, Isparta, Turkey; Sxahin, Ünal, Department of Periodontology, Karadeniz Technical University, Trabzon, Trabzon, Turkey; Baltacioǧlu, Esra, Department of Periodontology, Karadeniz Technical University, Trabzon, Trabzon, Turkey; Kırzıoğlu, Fatma Yeşim, Department of Periodontology, Süleyman Demirel Üniversitesi, Isparta, Isparta, Turkey","Background: The aim of this study is to investigate the impact of smoking status on the systemic and local superoxide dismutase (SOD), glutathione peroxidase (GSH-Px), and catalase (CAT) activities and malondialdehyde (MDA) levels in subjects with chronic periodontitis (CP). Methods: Sixty-five CP patients (23 smokers [CP-S], 23 former smokers [CP-FS], and 19 non-smokers [CP-NS]) and 20 periodontally healthy non-smoker controls (PH-NS) were included in the study. After the clinical measurements, serum and gingival tissue samples were collected. SOD, GSH-Px, and CAT activities and MDA levels in hemolysates and gingival tissue samples were spectrophotometrically assayed. Results: Blood MDA levels in all the periodontitis groups were higher than in the PH-NS group but only the difference between CP-FS and PH-NS groups was significant (P <0.01). Gingival tissue MDA levels in the periodontitis groups were significantly higher than that in the control group (P <0.01). However, the control group had the highest gingival SOD, GSH-Px, and CAT activities compared with all the periodontitis groups (P <0.01). The CP-S group had the highest gingival MDA levels and SOD, GSH-Px, and CAT activities among the periodontitis groups, whereas the lowest values were observed in the CP-NS group (P <0.01). The blood and gingival MDA levels in the CP-FS group were similar in the CP-NS group, whereas they were lower than in the CP-S group. Conclusions: Systemic and local MDA levels are increased by smoking in addition to the impact of periodontitis. The decreased local SOD, GSH-Px, and CAT activities observed in periodontitis patientsmay increase with smoking. J Periodontol 2011;82:1320-1328.","Antioxidants; Oxidative stress; Periodontitis; Smoking","antioxidant; catalase; glutathione peroxidase; malonaldehyde; scavenger; superoxide dismutase; adult; article; blood; chronic periodontitis; comparative study; enzymology; female; gingiva; gingiva bleeding; human; male; metabolism; middle aged; periodontal disease; periodontal pocket; periodontics; smoking; spectrophotometry; tooth plaque; Adult; Antioxidants; Catalase; Chronic Periodontitis; Dental Plaque Index; Female; Free Radical Scavengers; Gingiva; Gingival Hemorrhage; Glutathione Peroxidase; Humans; Male; Malondialdehyde; Middle Aged; Periodontal Attachment Loss; Periodontal Index; Periodontal Pocket; Smoking; Spectrophotometry; Superoxide Dismutase; Young Adult","","","","","","","","Article","Final","","Scopus","2-s2.0-80053023508"
