"Автор (ы)","Author full names","Идентификатор автора(ов)","Название документа","Год","Название источника","Том","Выпуск","Статья №","Страница начала","Страница окончания","Цитирования","DOI","Ссылка","Организации","Авторы организаций","Краткое описание","Ключевые слова автора","Ключевые слова указателя","Сведения о финансировании","Текст о финансировании","Спонсоры","Название конференции","Дата конференции","Место проведения конференции","Код конференции","Тип документа","СТАДИЯ ПУБЛИКАЦИИ","Open Access (открытый доступ)","Источник","EID"
"Özden, E.S.; Özcan, M.S.; Savran, M.; İlhan, I.; Tepebaşi, M.Y.; Sevuk, M.A.; Özmen, Ö.","Özden, Eyyüp Sabri (57193340122); Özcan, Mustafa Soner (57192821503); Savran, Mehtap (26221931400); İlhan, İlter (56268498100); Tepebaşi, Muhammet Yusuf (57204368136); Sevuk, Mehmet Abdulkadir (57904672800); Özmen, Özlem Z. (6602100853)","57193340122; 57192821503; 26221931400; 56268498100; 57204368136; 57904672800; 6602100853","Effects of Tasimelteon Treatment on Traumatic Brain Injury Through NRF-2/HO-1 and RIPK1/RIPK3/MLKL Pathways in Rats","2025","Molecular Neurobiology","62","10","","12383","12392","2","10.1007/s12035-025-04711-0","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217230606&doi=10.1007%2Fs12035-025-04711-0&partnerID=40&md5=9b52506c24720198620bf44736f80a6a","Department of Anesthesiology, SDU University, Kaskelen, Almaty, Kazakhstan; Department of Pharmacology, SDU University, Kaskelen, Almaty, Kazakhstan; Department of Biochemistry, SDU University, Kaskelen, Almaty, Kazakhstan; Department of Genetics, SDU University, Kaskelen, Almaty, Kazakhstan; Department of Pathology, Burdur Mehmet Akif Ersoy Üniversitesi, Burdur, Turkey","Özden, Eyyüp Sabri, Department of Anesthesiology, SDU University, Kaskelen, Almaty, Kazakhstan; Özcan, Mustafa Soner, Department of Anesthesiology, SDU University, Kaskelen, Almaty, Kazakhstan; Savran, Mehtap, Department of Pharmacology, SDU University, Kaskelen, Almaty, Kazakhstan; İlhan, İlter, Department of Biochemistry, SDU University, Kaskelen, Almaty, Kazakhstan; Tepebaşi, Muhammet Yusuf, Department of Genetics, SDU University, Kaskelen, Almaty, Kazakhstan; Sevuk, Mehmet Abdulkadir, Department of Pharmacology, SDU University, Kaskelen, Almaty, Kazakhstan; Özmen, Özlem Z., Department of Pathology, Burdur Mehmet Akif Ersoy Üniversitesi, Burdur, Turkey","Secondary brain damageafter traumatic brain injury (TBI) involves oxidative stress, neuroinflammation, apoptosis, and necroptosis and can be reversed by understanding these molecular pathways. The objective of this study was to examine the impact of tasimelteon (Tasi) administration on brain injury through the nuclear factor erythroid 2-related factor 2 (NRF-2)/heme oxygenase-1 (HO-1) and receptor-interacting protein kinase 1 (RIPK1)/receptor-interacting protein kinase 3 (RIPK3)/mixed lineage kinase domain-like (MLKL) pathways in rats with TBI. Thirty-two male Wistar albino rats weighing 300–350 g were randomly divided into four groups: the control group, trauma group, Tasi-1 group (trauma + 1 mg/kg Tasi intraperitoneally), and Tasi-10 group (trauma + 10 mg/kg Tasi intraperitoneally). At the end of the experimental phase, after sacrifice, blood samples and brain tissue were collected for biochemical, histopathological, immunohistochemical, and genetic analyses. Tasi increased the total antioxidant status and decreased the total oxidant status and oxidative stress index. In addition, Tasi caused histopathological changes characterized by a markedly reduced hemorrhage area in the Tasi-1 group. Normal brain and meningeal structure was observed in rats in the Tasi-10 group. Immunohistochemical analysis indicated that Tasi also decreased the expression of interferon-gamma, caspase-3, and tumor necrosis factor-alpha in the brain tissue. Although NRF-2 and HO-1 expression decreased, RIPK1/RIPK3/MLKL gene expression increased due to trauma. However, Tasi treatment reversed all these findings. Tasi protected against brain injury through the NRF-2/HO-1 and RIPK1/RIPK3/MLKL pathways in rats with TBI. © The Author(s) 2025.","Neuroprotection; NRF-2/HO-1; RIPK1/RIPK3/MLKL; Tasimelteon; Traumatic brain injury","","Türkiye Bilimsel ve Teknolojik Araştırma Kurumu, TUBITAK; Süleyman Demirel Üniversitesi, SDU, (TSG-2023–9092); Süleyman Demirel Üniversitesi, SDU","Open access funding provided by the Scientific and Technological Research Council of T\u00FCrkiye (T\u00DCB\u0130TAK). This study was supported by the Suleyman Demirel University Scientific Research Project Unit under the project number TSG-2023\u20139092.","","","","","","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85217230606"
"Tepebaşi, M.Y.; Aşci, H.; Aslan Koşar, P.A.; Dinçer, E.N.; Selcuk, E.; Kolay, Ö.; Hüseynov, İ.","Tepebaşi, Muhammet Yusuf (57204368136); Aşci, Halil (26221574800); Aslan Koşar, Pınar (55318082300); Dinçer, Emine Nur (59557868100); Selcuk, Esma (58190378800); Kolay, Öznur (59557052300); Hüseynov, İbrahim (58565130400)","57204368136; 26221574800; 55318082300; 59557868100; 58190378800; 59557052300; 58565130400","Potential Ameliorating Effects of Fluvoxamine in a Rat Model of Endotoxin-Induced Neuroinflammation: Molecular Aspects Through SIRT-1/GPX-4 and HMGB-1 Signaling","2025","Molecular Neurobiology","62","6","101114","7892","7902","1","10.1007/s12035-025-04764-1","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217742228&doi=10.1007%2Fs12035-025-04764-1&partnerID=40&md5=2eeadffc0ec9dd6f536be22b1835a487","Department of Genetics, SDU University, Kaskelen, Almaty, Kazakhstan; Department of Pharmacology, SDU University, Kaskelen, Almaty, Kazakhstan; Department of Medical Biology, SDU University, Kaskelen, Almaty, Kazakhstan; Department of Pathology, Burdur Mehmet Akif Ersoy Üniversitesi, Burdur, Turkey; Department of Pharmacology, SDU University, Kaskelen, Almaty, Kazakhstan; Faculty of Medicine, SDU University, Kaskelen, Almaty, Kazakhstan","Tepebaşi, Muhammet Yusuf, Department of Genetics, SDU University, Kaskelen, Almaty, Kazakhstan; Aşci, Halil, Department of Pharmacology, SDU University, Kaskelen, Almaty, Kazakhstan; Aslan Koşar, Pınar, Department of Medical Biology, SDU University, Kaskelen, Almaty, Kazakhstan; Dinçer, Emine Nur, Department of Pathology, Burdur Mehmet Akif Ersoy Üniversitesi, Burdur, Turkey; Selcuk, Esma, Department of Medical Biology, SDU University, Kaskelen, Almaty, Kazakhstan; Kolay, Öznur, Department of Pharmacology, SDU University, Kaskelen, Almaty, Kazakhstan; Hüseynov, İbrahim, Faculty of Medicine, SDU University, Kaskelen, Almaty, Kazakhstan","Research on the tissue-protective effects of fluvoxamine (FLV), a selective serotonin reuptake inhibitor, rapidly expands. This study explores FLV’s potential to protect against lipopolysaccharide (LPS)-induced neuroinflammation, a key factor in systemic inflammation-related neuronal damage. Four equal groups of thirty-two female Wistar Albino rats were created: FLV, LPS-FLV (50 mg/kg intraperitoneal), LPS (5 mg/kg intraperitoneal), and control. Both drugs were given in one dose on the same day. Tissues from the brain cortex, cerebellum, and hippocampus were taken for histopathology, immunohistochemistry, biochemistry, and genetic analysis. In the LPS group, histological examinations revealed hyperemia, edema, mild degeneration, neuronal death, and modest gliosis. Additionally, while apelin and total antioxidant status levels were reduced, greater levels of oxidative stress index, glial fibrillary acidic protein (GFAP), mammalian target of rapamycin (mTOR), and total oxidant status were noted. FLV treatment reversed all these findings. Genetic analyses revealed that LPS decreased sirtuin-1 (SIRT-1) and glutathione peroxidase 4 (GPX-4) while increasing high mobility group box protein 1 (HMGB-1). FLV treatment reversed all these parameters, and a significant result was obtained only with GPX-4. In this study, FLV treatment was shown to have anti-inflammatory and neuroprotective effects through various mechanisms on the brain cortex, cerebellum, and hippocampus tissues in addition to its antidepressant effects. © The Author(s) 2025.","Brain; Cerebellum; Hippocampus; Lipopolysaccharide; Oxidative stress; SSRI","endotoxin; fluvoxamine; fluvoxamine maleate; glial fibrillary acidic protein; high mobility group B1 protein; keta control; ketamine; lipopolysaccharide; mammalian target of rapamycin; phospholipid hydroperoxide glutathione peroxidase; sirtuin 1; xylazinbio; xylazine; glutathione peroxidase; animal cell; animal experiment; animal model; animal tissue; antiinflammatory activity; Article; biochemical analysis; biochemistry; brain cortex; brain tissue; central nervous system; cerebellum; controlled study; edema; female; gene expression; genetic analysis; gliosis; hippocampus; histology; histopathology; hyperemia; immunohistochemistry; mRNA expression level; nervous system inflammation; neuroprotection; nonhuman; oxidative stress; protein expression; rat; real time polymerase chain reaction; real time reverse transcription polymerase chain reaction; reverse transcription polymerase chain reaction; spectrophotometry; animal; brain; disease model; drug effect; drug therapy; metabolism; pathology; signal transduction; Wistar rat; Animals; Brain; Disease Models, Animal; Endotoxins; Female; Fluvoxamine; Glutathione Peroxidase; HMGB1 Protein; Lipopolysaccharides; Neuroinflammatory Diseases; Oxidative Stress; Rats; Rats, Wistar; Signal Transduction; Sirtuin 1","Türkiye Bilimsel ve Teknolojik Araştırma Kurumu, TÜBİTAK, (4500-YL1-15); Türkiye Bilimsel ve Teknolojik Araştırma Kurumu, TÜBİTAK","Open access funding provided by the Scientific and Technological Research Council of T\u00FCrkiye (T\u00DCB\u0130TAK). Suleyman Demirel University\u2019s Scientific Research Projects Coordination Unit provided funding for this study under the project code 4500-YL1-15.","","","","","","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85217742228"
"Bekturova, M.; Gaipov, D.; Dyankova, G.H.; Tulepova, S.","Bekturova, Madina B. (58080607100); Gaipov, Davronzhon Erkinovich (57201636984); Dyankova, Gergana (57208443778); Tulepova, Saule B. (58081046400)","58080607100; 57201636984; 57208443778; 58081046400","Examining Multimodal Literacy Skills Among EMI Teachers in Kazakhstan","2025","International Journal of Cognitive Research in Science, Engineering and Education","13","1","","123","145","0","10.23947/2334-8496-2025-13-1-217-222","https://www.scopus.com/inward/record.uri?eid=2-s2.0-105005113490&doi=10.23947%2F2334-8496-2025-13-1-217-222&partnerID=40&md5=17769122fad5703254ee6b4cfea76849","Department of Language Education, SDU University, Kaskelen, Almaty, Kazakhstan; Department of Preschool and Primary School Education, South-West University Neofit Rilski, Blagoevgrad, Bulgaria","Bekturova, Madina B., Department of Language Education, SDU University, Kaskelen, Almaty, Kazakhstan; Gaipov, Davronzhon Erkinovich, Department of Language Education, SDU University, Kaskelen, Almaty, Kazakhstan; Dyankova, Gergana, Department of Preschool and Primary School Education, South-West University Neofit Rilski, Blagoevgrad, Bulgaria; Tulepova, Saule B., Department of Language Education, SDU University, Kaskelen, Almaty, Kazakhstan","The integration of English as a Medium of Instruction (EMI) in Kazakhstani universities necessitates effective multimodal communication in teaching. However, limited research has explored EMI instructors’ multimodal literacy—their ability to utilize verbal, visual, and textual elements to enhance instruction. This study investigates the relationship between EMI instructors’ ability to express and interpret multimodal content and their preference for multimodal communication in teaching at a Kazakhstani university. A quantitative research design was employed, utilizing a validated survey instrument to assess 120 teachers’ multimodal literacy levels in one Kazakhstani university. The collected data underwent reliability analysis, descriptive statistics, and Pearson correlation analysis to examine the relationships among multimodal expression, interpretation, and preference. The results indicate that while teachers acknowledge the value of multimodal approaches, they encounter significant challenges in integrating them effectively. Variations in internal consistency suggest that certain aspects of multimodal communication remain difficult to master. Additionally, the findings reveal that teachers who demonstrate strong multimodal interpretation skills do not necessarily prefer using such methods in teaching. These findings suggest a gap between EMI instructors’ multimodal literacy and their instructional preferences, highlighting the need for targeted faculty development programs that enhance multimodal teaching strategies. © 2025 by the authors.","English as a medium of instruction; higher education; Multimodal Literacy Scale; multimodal training; university teachers","","Ministry of Education and Science of the Republic of Kazakhstan, (IRN AP 19676131)","This research project is funded by the Ministry of Higher Education and Science of the Republic of Kazakhstan under \u201CIRN AP 19676131\u201D state funding grant.","","","","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-105005113490"
"Kassymova, G.K.; Arpentieva, M.R.; Zhigitbekova, B.D.; Schachl, H.; Kosherbayeva, A.N.; Aganina, K.Zh.; Vafazov, F.R.; Menshikov, P.V.; Golubchikova, M.G.; Korobchenko, A.I.","Kassymova, Gulzhaina K. (57210582211); Arpentieva, Mariam R. (57193768605); Zhigitbekova, Bakyt D. (57191997234); Schachl, Hans (57212350282); Kosherbayeva, A. N. (57215216652); Aganina, Kundyz Zh (56642848200); Vafazov, Farid R. (58914713300); Menshikov, Petr V. (57225292315); Golubchikova, M. G. (57217925824); Korobchenko, A. I. (57219602110)","57210582211; 57193768605; 57191997234; 57212350282; 57215216652; 56642848200; 58914713300; 57225292315; 57217925824; 57219602110","Building Resilience in Students: Managed and Minimised Stress in Students","2023","OBM Neurobiology","7","4","","","","11","10.21926/obm.neurobiol.2304193","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85186470713&doi=10.21926%2Fobm.neurobiol.2304193&partnerID=40&md5=b53016b77e0784b6da2408606fb0b108","Institute of Metallurgy and Ore Beneficiation, Almaty, Kazakhstan; Institute of Pedagogy and Psychology, Abai Kazakh National Pedagogical University, Almaty, Kazakhstan; SDU University, Kaskelen, Almaty, Kazakhstan; Center for psychological, medical and social assistance ""Assistance"", Kaluga, Russian Federation; Department of General and Applied Psychology, Abai Kazakh National Pedagogical University, Almaty, Kazakhstan; Private Pädagogische Hochschule der Diözese Linz, Linz, Austria; I.V. Panfilov Kazakh-Russian Specialized School-Lyceum №54, Almaty, Kazakhstan; Tsiolkovskiy Kaluga State University, Kaluga, Kaluga Oblast, Russian Federation; Irkutsk State University, Irkutsk, Irkutsk Oblast, Russian Federation; Irkutsk State Medical University, Irkutsk, Irkutsk Oblast, Russian Federation; Irkutsk State Medical University, Irkutsk, Irkutsk Oblast, Russian Federation","Kassymova, Gulzhaina K., Institute of Metallurgy and Ore Beneficiation, Almaty, Kazakhstan, Institute of Pedagogy and Psychology, Abai Kazakh National Pedagogical University, Almaty, Kazakhstan, SDU University, Kaskelen, Almaty, Kazakhstan; Arpentieva, Mariam R., Center for psychological, medical and social assistance ""Assistance"", Kaluga, Russian Federation; Zhigitbekova, Bakyt D., Department of General and Applied Psychology, Abai Kazakh National Pedagogical University, Almaty, Kazakhstan; Schachl, Hans, Private Pädagogische Hochschule der Diözese Linz, Linz, Austria; Kosherbayeva, A. N., Institute of Pedagogy and Psychology, Abai Kazakh National Pedagogical University, Almaty, Kazakhstan; Aganina, Kundyz Zh, Institute of Pedagogy and Psychology, Abai Kazakh National Pedagogical University, Almaty, Kazakhstan; Vafazov, Farid R., I.V. Panfilov Kazakh-Russian Specialized School-Lyceum №54, Almaty, Kazakhstan; Menshikov, Petr V., Tsiolkovskiy Kaluga State University, Kaluga, Kaluga Oblast, Russian Federation; Golubchikova, M. G., Irkutsk State University, Irkutsk, Irkutsk Oblast, Russian Federation, Irkutsk State Medical University, Irkutsk, Irkutsk Oblast, Russian Federation; Korobchenko, A. I., Irkutsk State Medical University, Irkutsk, Irkutsk Oblast, Russian Federation","Stressful events in students' and teachers' personal, academic, and professional lives are widespread. The paper discusses many effective methods and techniques for correcting and preventing stress that are simple to learn and practice. They give good results in working with children, adolescents, and youths in training and education. Some practices are more complex and require more attention and effort to understand and master them, but they also have broader capabilities in various situations. Therefore, training sessions aimed at training in the prevention and correction of (di)stress conditions are very relevant and necessary. The results showed that there is a conscious and urgent need for students to reduce anxiety and stress, including ways to deal with learning stresses. Stress management can and should be structured and systematically organized, including in the instrumental sense: students need to be taught how to manage stress and themselves, increase their resistance to stress (resilience), and be trained to use different coping techniques with anxiety, as appropriate. In an empirical study, representatives of other groups of students from three Kazakh universities answered questions from three author's stress questionnaires. According to the respondents, the study results showed that students need knowledge about stress. The study showed the urgent need for special educational and training seminars, lectures, and even courses on (di)stress and physical, mental, and moral injuries and coping with them. Such classes are needed to help schoolchildren and students cope with stress and avoid problems with moral, mental, and physical health to prevent other negative consequences of school and related strains. © 2023 by the author.","Academic performance; mental health problems; prevention; stress; stress management techniques; treatment","","Ministry of Education and Science of the Republic of Kazakhstan","The work is financially supported by the Ministry of Science and Education of the Republic of Kazakhstan.","","","","","","Review","Final","All Open Access; Gold Open Access","Scopus","2-s2.0-85186470713"
"Murugesan, G.; Ahmed, T.I.; Shabaz, M.; Bhola, J.; Omarov, B.; Swaminathan, R.; Sammy, F.; Sumi, S.A.","Murugesan, G. (36806681300); Ahmed, Tousief Irshad (57557764800); Shabaz, Mohammad (57202955007); Bhola, Jyoti (26421594300); Omarov, Batyrkhan Sultanovich (57202103462); Swaminathan, Ramamurthy (57216767545); Sammy, F. (57491037300); Sumi, Sharmin Akter (57571671100)","36806681300; 57557764800; 57202955007; 26421594300; 57202103462; 57216767545; 57491037300; 57571671100","Retraction:Assessment of Mental Workload by Visual Motor Activity among Control Group and Patient Suffering from Depressive Disorder","2022","Computational Intelligence and Neuroscience","2022","","8555489","","","31","10.1155/2022/8555489","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85127979759&doi=10.1155%2F2022%2F8555489&partnerID=40&md5=70b855a00d448d0d7f9bb97abf9834bd","Department of Computer Science and Engineering, St. Joseph's College of Engineering, Chennai, India; Department of Clinical Biochemistry, Sher-I-Kashmir Institute of Medical Sciences, Srinagar, JK, India; Model Institute of Engineering and Technology, Jammu, JK, India; Department of Electronics and Communication Engineering, National Institute of Technology Hamirpur, Hamirpur, HP, India; Al Farabi Kazakh National University, Almaty, Kazakhstan; International University of Tourism and Hospitality, Turkistan, Kazakhstan; SDU University, Kaskelen, Almaty, Kazakhstan; Saveetha School of Engineering, Chennai, TN, India; Department of Information Technology, Dambi Dollo University, Dembidollo, Oromia, Ethiopia; Department of Anatomy, Bangabandhu Sheikh Mujib Medical University, Dhaka, Bangladesh","Murugesan, G., Department of Computer Science and Engineering, St. Joseph's College of Engineering, Chennai, India; Ahmed, Tousief Irshad, Department of Clinical Biochemistry, Sher-I-Kashmir Institute of Medical Sciences, Srinagar, JK, India; Shabaz, Mohammad, Model Institute of Engineering and Technology, Jammu, JK, India; Bhola, Jyoti, Department of Electronics and Communication Engineering, National Institute of Technology Hamirpur, Hamirpur, HP, India; Omarov, Batyrkhan Sultanovich, Al Farabi Kazakh National University, Almaty, Kazakhstan, International University of Tourism and Hospitality, Turkistan, Kazakhstan, SDU University, Kaskelen, Almaty, Kazakhstan; Swaminathan, Ramamurthy, Saveetha School of Engineering, Chennai, TN, India; Sammy, F., Department of Information Technology, Dambi Dollo University, Dembidollo, Oromia, Ethiopia; Sumi, Sharmin Akter, Department of Anatomy, Bangabandhu Sheikh Mujib Medical University, Dhaka, Bangladesh","Major depressive disorder (MDD) is a mood state that is not usually associated with vision problems. Recent research has found that the inhibitory neurotransmitter GABA levels in the occipital brain have dropped. Aim. The aim of the research is to evaluate mental workload by single channel electroencephalogram (EEG) approach through visual-motor activity and comparison of parameter among depressive disorder patient and in control group. Method. Two tests of a visual-motor task similar to reflect drawings were performed in this study to compare the visual information processing of patients with depression to that of a placebo group. The current study looks into the accuracy of monitoring cognitive burden with single-channel portable EEG equipment. Results. The alteration of frontal brain movement in reaction to fluctuations in cognitive burden stages generated through various vasomotor function was examined. By applying a computerised oculomotor activity analogous to reflector image diagram, we found that the complexity of the path to be drawn was more important than the real time required accomplishing the job in determining perceived difficulty in depressive disorder patients. The overall perceived difficulty of the exercise is positively linked with EEG activity measured from the motor cortex region at the start of every experiment test. The average rating for task completion for depression patients and in control group observed and no statistical significance association reported between rating scale and time spent on each trial (p=1.43) for control group while the normalised perceived difficulty rating had 0.512, 0.623, and 0.821 correlations with the length of the pathway, the integer of inclination in the pathway, and the time spent to complete every experiment test, respectively (p<0.0001) among depression patients. The findings imply that alterations in comparative cognitive burden levels during an oculomotor activity considerably modify frontal EEG spectrum. Conclusion. Patients with depression perceived the optical illusion in the arrays as weaker, resulting in a little bigger disparity than individuals who were not diagnosed with depression. This discovery provided light on the prospect of adopting a user-friendly mobile EEG technology to assess mental workload in everyday life. © 2022 G. Murugesan et al.","","Control groups; Experiment tests; In-control; Mental workload; Motor activity; Patient control; Patient's suffering; Perceived difficulties; Single channels; Time-spent; Electroencephalography; control group; electroencephalography; human; major depression; motor activity; procedures; psychology; workload; Control Groups; Depressive Disorder, Major; Humans; Motor Activity; Workload","","","","","","","","Retracted","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85127979759"
