"Автор (ы)","Author full names","Идентификатор автора(ов)","Название документа","Год","Название источника","Том","Выпуск","Статья №","Страница начала","Страница окончания","Цитирования","DOI","Ссылка","Организации","Авторы организаций","Краткое описание","Ключевые слова автора","Ключевые слова указателя","Сведения о финансировании","Текст о финансировании","Спонсоры","Название конференции","Дата конференции","Место проведения конференции","Код конференции","Тип документа","СТАДИЯ ПУБЛИКАЦИИ","Open Access (открытый доступ)","Источник","EID"
"Bayar, I.; Erzurumlu, Y.; Akkoç, S.; Bulut, Z.; Ni̇Zamlioğlu, M.","Bayar, İrem (57222066747); Erzurumlu, Yalcin (55588677300); Akkoç, Senem (55211930300); Bulut, Zafer (60167964100); Ni̇Zamlioğlu, Mehmet (8712143500)","57222066747; 55588677300; 55211930300; 60167964100; 8712143500","Investigation of the sensitivity of human A549 cells to paclitaxel and sesquiterpene lactone alantolactone via apoptosis induction","2025","Naunyn-Schmiedeberg's Archives of Pharmacology","398","8","","10625","10633","0","10.1007/s00210-025-03947-w","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85218998407&doi=10.1007%2Fs00210-025-03947-w&partnerID=40&md5=dd4d65d3220e192ddacb3344bff10570","Department of Biochemistry, Selçuk Üniversitesi, Selçuklu, Konya, Turkey; Department of Pharmaceutical Research and Development, Süleyman Demirel Üniversitesi, Isparta, Isparta, Turkey; Department of Basic Pharmaceutical Sciences, SDU University, Kaskelen, Almaty, Kazakhstan; Faculty of Engineering and Natural Sciences, Bahçeşehir Üniversitesi, Istanbul, Turkey; Department of Biochemistry, Dokuz Eylül Üniversitesi, Izmir, Turkey","Bayar, İrem, Department of Biochemistry, Selçuk Üniversitesi, Selçuklu, Konya, Turkey, Department of Pharmaceutical Research and Development, Süleyman Demirel Üniversitesi, Isparta, Isparta, Turkey; Erzurumlu, Yalcin, Department of Pharmaceutical Research and Development, Süleyman Demirel Üniversitesi, Isparta, Isparta, Turkey, Department of Basic Pharmaceutical Sciences, SDU University, Kaskelen, Almaty, Kazakhstan; Akkoç, Senem, Department of Basic Pharmaceutical Sciences, SDU University, Kaskelen, Almaty, Kazakhstan, Faculty of Engineering and Natural Sciences, Bahçeşehir Üniversitesi, Istanbul, Turkey; Bulut, Zafer, Department of Biochemistry, Selçuk Üniversitesi, Selçuklu, Konya, Turkey, Department of Biochemistry, Dokuz Eylül Üniversitesi, Izmir, Turkey; Ni̇Zamlioğlu, Mehmet, Department of Biochemistry, Selçuk Üniversitesi, Selçuklu, Konya, Turkey","Alantolactone (ALA), a sesquiterpene lactone compound obtained from Inula helenium root, is known to have anticancer activity in many types of cancer. Paclitaxel (PAX) is an effective first-line chemotherapeutic drug and is widely used in the treatment of lung cancer. The in vitro anticancer efficacy of combined treatment of ALA with PAX was investigated in the A549 human lung cancer cell line. The results show that ALA potentiated the effect of PAX-induced growth restriction and apoptosis in A549 cells. The combined administration more effectively decreased the Bcl-2 expression and increased Bax gene expression in cells compared to ALA or PAX alone. Also, co-treatment of ALA and PAX caused apoptotic nuclear formations. Additionally, coadministration increased the caspase-3 and caspase-9 levels more than PAX or ALA alone. The increase in NF-κB gene expression levels suggests that an NF-κB-independent apoptotic trigger mechanism operates in cells. Together, the present in vitro findings suggest that ALA may contribute as a potential therapeutic strategy in the treatment of lung cancer. © The Author(s) 2025.","A549; Alantolactone; Apoptosis; Lung cancer; Paclitaxel","alantolactone; caspase 3; caspase 9; immunoglobulin enhancer binding protein; paclitaxel; protein Bax; protein bcl 2; antineoplastic agent; BAX protein, human; CASP9 protein, human; lactone; sesquiterpene; A-549 cell line; antineoplastic activity; apoptosis; Article; cell migration; cell proliferation; cell structure; cell viability rate; colony forming unit; controlled study; cytotoxicity; drug potentiation; drug sensitivity; drug structure; gene expression; gene expression level; human; human cell; in vitro study; incubation time; lung adenocarcinoma; protein expression; drug effect; drug therapy; genetics; lung tumor; metabolism; pathology; A549 Cells; Antineoplastic Agents, Phytogenic; Antineoplastic Combined Chemotherapy Protocols; Apoptosis; bcl-2-Associated X Protein; Caspase 3; Caspase 9; Cell Proliferation; Drug Synergism; Humans; Lactones; Lung Neoplasms; NF-kappa B; Paclitaxel; Proto-Oncogene Proteins c-bcl-2; Sesquiterpenes, Eudesmane","Türkiye Bilimsel ve Teknolojik Araştırma Kurumu, TUBITAK; Selçuk Üniversitesi, SU, (BAP-22401099); Selçuk Üniversitesi, SU; Süleyman Demirel Üniversitesi, SDU, (TSG-2021–8302, TAB-2020-8253, TSG-2024–9516); Süleyman Demirel Üniversitesi, SDU","Funding text 1: Open access funding provided by the Scientific and Technological Research Council of T\u00FCrkiye (T\u00DCB\u0130TAK). Financial support was provided by the Selcuk University Scientific Research Projects Coordination Unit (Project no: BAP-22401099), the Suleyman Demirel University (Project no: TSG-2021\u20138302, TAB-2020\u20138253), and the S\u00FCleyman Demirel University Research Fund (TSG-2024\u20139516).; Funding text 2: IB and SA would like to thank the Selcuk University Scientific Research Projects Coordination Unit for the financial support provided with project number BAP-22401099. YE would like to thank the Suleyman Demirel University for its partial financial support (TSG-2021-8302, TAB-2020-8253). SA would also like to thank the S\u00FCleyman Demirel University Research Fund (TSG-2024-9516).","","","","","","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85218998407"
"Karakuyu, N.F.; Çamlıca, T.; Aşci, H.; Milletsever, A.; Ulusoy, A.; Gonuler, F.M.; Altuntaş, A.","Karakuyu, Nasıf Fatih (57837603600); Çamlıca, Tuğçe (57554947700); Aşci, Halil (26221574800); Milletsever, Adem (57258635400); Ulusoy, Arzu (59548301200); Gonuler, Fatih Mehmet (59547345700); Altuntaş, Atila (37030521400)","57837603600; 57554947700; 26221574800; 57258635400; 59548301200; 59547345700; 37030521400","Fluvoxamine may reverse the decrease in filtering capacity that occurs in acute kidney injury by increasing IL-10 and ACE expressions and preserving AQ-2, AQ-4, CL-5, and ZO-1 expressions","2025","Naunyn-Schmiedeberg's Archives of Pharmacology","398","7","","9021","9029","1","10.1007/s00210-025-03844-2","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85217264481&doi=10.1007%2Fs00210-025-03844-2&partnerID=40&md5=c23de642336de79e2afe4f715ea1da57","Department of Pharmacology, SDU University, Kaskelen, Almaty, Kazakhstan; Health Research and Application Center, Süleyman Demirel Üniversitesi, Isparta, Isparta, Turkey; Department of Pharmacology, SDU University, Kaskelen, Almaty, Kazakhstan; Department of Pathology, Burdur Mehmet Akif Ersoy Üniversitesi, Burdur, Turkey; Department of Bioengineering, SDU University, Kaskelen, Almaty, Kazakhstan; Faculty of Medicine, SDU University, Kaskelen, Almaty, Kazakhstan; Department of Internal Medicine, SDU University, Kaskelen, Almaty, Kazakhstan","Karakuyu, Nasıf Fatih, Department of Pharmacology, SDU University, Kaskelen, Almaty, Kazakhstan; Çamlıca, Tuğçe, Health Research and Application Center, Süleyman Demirel Üniversitesi, Isparta, Isparta, Turkey; Aşci, Halil, Department of Pharmacology, SDU University, Kaskelen, Almaty, Kazakhstan; Milletsever, Adem, Department of Pathology, Burdur Mehmet Akif Ersoy Üniversitesi, Burdur, Turkey; Ulusoy, Arzu, Department of Bioengineering, SDU University, Kaskelen, Almaty, Kazakhstan; Gonuler, Fatih Mehmet, Faculty of Medicine, SDU University, Kaskelen, Almaty, Kazakhstan; Altuntaş, Atila, Department of Internal Medicine, SDU University, Kaskelen, Almaty, Kazakhstan","The kidneys have a regulatory role in many diseases with their diuresis function and capacity to maintain electrolyte balance. In case of extensive damage, the kidney’s filtration capacity is impaired and cannot fulfill its functions. Fluvoxamine (FLV), an antidepressant agent, has antioxidant and anti-inflammatory effects. This study aimed to investigate the protective effects of FLV against renal tissue damage in the lipopolysaccharide (LPS) induced systemic inflammation model. Thirty-two Wistar Albino rats were divided into four equal groups: control, LPS, LPS + FLV, and FLV alone. Six hours after LPS administration, rats were sacrificed and kidney tissues were removed. Histopathological examination of kidney tissues, immunohistochemical expression of the ACE-1, Cas-9, and interleukin-10 (IL-10), as well as spectrophotometric assessment of total oxidant status (TOS), total antioxidant status (TAS), oxidative stress index (OSI), urea, creatinine levels, and zonulin-1 (ZO-1), claudin-5 (CL-5), aquaporins 2 and 4 (AQ-2, AQ-4) were evaluated. TOS, OSI, urea, creatinine levels, and Cas-9 expressions were significantly increased, and TAS levels, ACE-1, IL-10, AQ-2, AQ-4, ZO-1, and CL-5 expressions significantly decreased in the LPS group compared with the control group. In addition, marked hyperemia, slight-to-moderate hemorrhages, and degeneration of the tubule epithelial cells were observed in kidney sections in the LPS group, in addition to the inflammatory cell infiltrations. FLV treatment significantly improved all these findings. FLV treatment ameliorates renal tissues against inflammatory scenes and protects renal function by enhancing IL-10 and ACE-1 expressions and preserving AQ-2, AQ-4, CL-5, and ZO-1 expressions. © The Author(s) 2025.","Acute kidney injury; Inflammation; Oxidative stress; Rats","aquaporin; aquaporin 2; aquaporin 4; claudin 5; creatinine; CRISPR associated endonuclease Cas9; dipeptidyl carboxypeptidase; fluvoxamine; fluvoxamine maleate; interleukin 10; lipopolysaccharide; protein ZO1; urea; antiinflammatory agent; antioxidant; Tjp1 protein, rat; acute kidney failure; adult; albino rat; animal experiment; animal model; animal tissue; antioxidant activity; Article; bleeding; controlled study; epithelium cell; female; glomerulus filtration; histopathology; hyperemia; immunohistochemistry; kidney function; kidney injury; kidney tissue; kidney tubule epithelium; lipopolysaccharide-induced systemic inflammation; nonhuman; oxidative stress; protein expression; rat; renal protection; spectrophotometry; treatment duration; Wistar rat; animal; drug effect; drug therapy; kidney; male; metabolism; pathology; Acute Kidney Injury; Animals; Anti-Inflammatory Agents; Antioxidants; Fluvoxamine; Interleukin-10; Kidney; Lipopolysaccharides; Male; Oxidative Stress; Peptidyl-Dipeptidase A; Rats; Rats, Wistar; Zonula Occludens-1 Protein","Türkiye Bilimsel ve Teknolojik Araştırma Kurumu, TUBITAK, (TSG-2024–9268); Türkiye Bilimsel ve Teknolojik Araştırma Kurumu, TUBITAK","Funding text 1: Open access funding provided by the Scientific and Technological Research Council of T\u00FCrkiye (T\u00DCB\u0130TAK). This study was supported by the Scientific Research Projects Coordination Unit of Suleyman Demirel University with the project code TSG-2024\u20139268.; Funding text 2: The processes and procedures intended to be performed on rats within the research were reviewed and approved by the Local Ethics Committee of S\u00FCleyman Demirel University Animal Experiments (Ethics No: 11.07.2024/08\u2013315). All methods were performed in accordance with the relevant guidelines and regulations. All experiments and procedures were performed per the Animal Research: Reporting in Vivo Experiments (ARRIVE) guidelines. In addition, this study was supported by the Scientific Research Projects Coordination Unit of Suleyman Demirel University with the project code TSG-2024\u20139268.","","","","","","Article","Final","All Open Access; Green Accepted Open Access; Green Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-85217264481"
"Arslan, G.; Erzurumlu, Y.; Muhammed, M.T.; Özçelik, A.B.","Arslan, Gülnur (57478494900); Erzurumlu, Yalcin (55588677300); Muhammed, Muhammed Tilahun (57204124980); Özçelik, Azime Berna (35082483800)","57478494900; 55588677300; 57204124980; 35082483800","Design and synthesis of aminothiazole-benzazole based amide: antiproliferative, antimigration activity and molecular docking studies","2025","Medicinal Chemistry Research","34","2","111587","406","422","0","10.1007/s00044-024-03344-7","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85208799714&doi=10.1007%2Fs00044-024-03344-7&partnerID=40&md5=5a3517d13be0c17af6b50c31e7e8c381","Department of Biochemistry Faculty of Pharmacy, SDU University, Kaskelen, Almaty, Kazakhstan; Department of Basic Pharmaceutical Sciences Faculty of Pharmacy, Gazi Üniversitesi, Ankara, Ankara, Turkey; Department of Pharmaceutical Chemistry Faculty of Pharmacy, SDU University, Kaskelen, Almaty, Kazakhstan","Arslan, Gülnur, Department of Biochemistry Faculty of Pharmacy, SDU University, Kaskelen, Almaty, Kazakhstan, Department of Basic Pharmaceutical Sciences Faculty of Pharmacy, Gazi Üniversitesi, Ankara, Ankara, Turkey; Erzurumlu, Yalcin, Department of Pharmaceutical Chemistry Faculty of Pharmacy, SDU University, Kaskelen, Almaty, Kazakhstan; Muhammed, Muhammed Tilahun, Department of Biochemistry Faculty of Pharmacy, SDU University, Kaskelen, Almaty, Kazakhstan; Özçelik, Azime Berna, Department of Basic Pharmaceutical Sciences Faculty of Pharmacy, Gazi Üniversitesi, Ankara, Ankara, Turkey","In this study, we synthesized a series of amide-functionalized aminothiazole-benzazole analogs for potential application in cancer treatment. The chemical structures of these compounds were confirmed using proton nuclear magnetic resonance (1H NMR), carbon-13 nuclear magnetic resonance (13C NMR) spectroscopy, and high-resolution mass spectrometry (HRMS). We evaluated the cytotoxicity of these compounds against breast cancer cells (MCF-7) and lung adenocarcinoma cells (A549). Notably, Compound 6b demonstrated significant cytotoxicity, with IC<inf>50</inf> values of 17.2 ± 1.9 μM for MCF-7 cells and 19.0 ± 3.2 μM for A549 cells. Furthermore, we assessed the antimigration properties of all synthesized compounds, observing promising antiproliferative effects in both MCF-7 and A549 cells. Compound 6b exhibited a significant antimigration effect, achieving a 50.2 ± 4.7% wound healing rate in MCF-7 cells. In addition, we examined the impact of these compounds on key apoptotic proteins, including Caspase-7, PARP-1, BAX, and Bcl-2, which are critical in the regulation of programmed cell death. The binding potentials of the active compounds to BAX and Bcl-2 were also supported by docking. Results that consolidate the in vitro study were obtained from the in silico analysis. Our results suggest that these amide-functionalized aminothiazole-benzazole analogs exhibit potential as anticancer agents and merit further investigation to elucidate their mechanisms of action and therapeutic potential. © The Author(s), under exclusive licence to Springer Science+Business Media, LLC, part of Springer Nature 2024.","1,3-benzazol-2(3H)-one; 2-aminothiazole; Amide; Antimigration; Antiproliferative","2 (5 chloro 2 oxobenzo[d]thiazol 3(2h) yl) n (4 phenylthiazol 2 yl)acetamide; 2 (5 chloro 2 oxobenzo[d]thiazol 3(2h) yl) n (5 phenylthiazol 2 yl)acetamide; 2 (5 chloro 2 oxobenzo[d]thiazol 3(2h) yl) n [4 (4 chlorophenyl)thiazol 2 yl]acetamide; 2 (5 chloro 2 oxobenzo[d]thiazol 3(2h) yl) n [4 (4 cyanophenyl)thiazol 2 yl]acetamide; 2 (5 chloro 2 oxobenzo[d]thiazol 3(2h) yl) n [4 (4 fluorophenyl)thiazol 2 yl]acetamide; 2 (5 chloro 2 oxobenzo[d]thiazol 3(2h) yl) n [4 (4 methoxyphenyl)thiazol 2 yl]acetamide; 2 (5 chloro 2 oxobenzo[d]thiazol 3(2h) yl) n [4 [4 (trifluoromethyl)phenyl]thiazol 2 yl]acetamide; 2 (5 chloro 2 oxobenzo[d]thiazol 3(2h) yl) n [5 (4 chlorophenyl)thiazol 2 yl]acetamide; 2 (5 chloro 2 oxobenzo[d]thiazol 3(2h) yl) n [5 (4 cyanophenyl)thiazol 2 yl]acetamide; 2 (5 chloro 2 oxobenzo[d]thiazol 3(2h) yl) n [5 (4 fluorophenyl)thiazol 2 yl]acetamide; 2 (5 chloro 2 oxobenzo[d]thiazol 3(2h) yl) n [5 (4 methoxyphenyl)thiazol 2 yl]acetamide; 2 (5 chloro 2 oxobenzo[d]thiazol 3(2h) yl) n [5 [4 (trifluoromethyl)phenyl]thiazol 2 yl]acetamide; 2 aminothiazole derivative; amide; antineoplastic agent; caspase 7; doxorubicin; nicotinamide adenine dinucleotide adenosine diphosphate ribosyltransferase 1; protein Bax; protein bcl 2; unclassified drug; A-549 cell line; antineoplastic activity; antiproliferative activity; apoptosis; Article; carbon nuclear magnetic resonance; computer model; controlled study; drug cytotoxicity; drug design; drug structure; drug synthesis; human; human cell; IC50; in vitro study; mass spectrometry; MCF-7 cell line; migration inhibition; molecular docking; proapoptotic activity; proton nuclear magnetic resonance; wound healing assay","(TDK-2022-7949)","This study was supported by the Gazi University Scientific Research Department (Gazi BAP) under grant number TDK-2022-7949. We express our gratitude for their contributions.","","","","","","Article","Final","","Scopus","2-s2.0-85208799714"
"Wakhle, B.; Sharma, S.; Patel, K.S.; Pandey, P.K.; Blažević, A.; Fiket, Ž.; Yurdakul, S.; Varol, S.; Martín-Ramos, P.; Al-Yousef, H.M.; Mothana, R.A.","Wakhle, Bhagyashri (59209407800); Sharma, Saroj (57221072413); Patel, Khageshvvar Singh (35512539300); Pandey, Piyush Kant (7202746285); Blažević, Antonela (59274338300); Fiket, Željka (16506411600); Yurdakul, Sema (55326240100); Varol, Simge Ormeci (35204326000); Martín-Ramos, Pablo (41862034200); Al-Yousef, Hanan Mohamed (6603066783); Mothana, Ramzi Ahmed A. (6507385684)","59209407800; 57221072413; 35512539300; 7202746285; 59274338300; 16506411600; 55326240100; 35204326000; 41862034200; 6603066783; 6507385684","Multi-Element Exposure and Health Risks of Grains from Ambagarh Chowki, Chhattisgarh, India","2025","Toxics","13","1","56","","","2","10.3390/toxics13010056","https://www.scopus.com/inward/record.uri?eid=2-s2.0-85215760872&doi=10.3390%2Ftoxics13010056&partnerID=40&md5=891c411a0bd58ebca9a8d8af4706e5ca","Department of Chemistry, Government Nagarjuna Post Graduate College of Science, Raipur, CT, India; Department of Applied Sciences, Amity University Chhattisgarh, Raipur, CG, India; Division for Marine and Environmental Research, Institut Ruđer Bošković, Zagreb, Croatia; Environmental Engineering Department, SDU University, Kaskelen, Almaty, Kazakhstan; Geological Engineering Department, SDU University, Kaskelen, Almaty, Kazakhstan; Universidad de Valladolid, Valladolid, Valladolid, Spain; College of Pharmacy, Riyadh, Riyad, Saudi Arabia","Wakhle, Bhagyashri, Department of Chemistry, Government Nagarjuna Post Graduate College of Science, Raipur, CT, India; Sharma, Saroj, Department of Chemistry, Government Nagarjuna Post Graduate College of Science, Raipur, CT, India; Patel, Khageshvvar Singh, Department of Applied Sciences, Amity University Chhattisgarh, Raipur, CG, India; Pandey, Piyush Kant, Department of Applied Sciences, Amity University Chhattisgarh, Raipur, CG, India; Blažević, Antonela, Division for Marine and Environmental Research, Institut Ruđer Bošković, Zagreb, Croatia; Fiket, Željka, Division for Marine and Environmental Research, Institut Ruđer Bošković, Zagreb, Croatia; Yurdakul, Sema, Environmental Engineering Department, SDU University, Kaskelen, Almaty, Kazakhstan; Varol, Simge Ormeci, Geological Engineering Department, SDU University, Kaskelen, Almaty, Kazakhstan; Martín-Ramos, Pablo, Universidad de Valladolid, Valladolid, Valladolid, Spain; Al-Yousef, Hanan Mohamed, College of Pharmacy, Riyadh, Riyad, Saudi Arabia; Mothana, Ramzi Ahmed A., College of Pharmacy, Riyadh, Riyad, Saudi Arabia","Rice, wheat, and maize grains are staple foods, widely consumed for their mineral and nutritional values. However, they can accumulate toxic elements from contaminated soils, posing health risks. This study investigates the bioaccumulation patterns of 52 elements (including nutrients, heavy metals, and rare earth elements) in various parts (grain, husk, straw, and root) of cereals grown in a heavily polluted region. The results revealed that rice grains exhibited a higher accumulation (Σ33.4 mg/kg) of toxic elements (As, Cu, Cr, Ni, and Pb) than wheat (Σ26.6 mg/kg) and maize (Σ16.2 mg/kg) grains, with the high-yield RI64 cultivar (Σ47.0 mg/kg) being the most susceptible. Across the rice plant, accumulation increased in the order of grain < husk < straw < root. Elements like P, K, Cu, and Zn showed the highest enrichment. Worryingly, the most toxic elements, such as As, Pb, and Cd, exceeded permissible limits across grains, straws, and husks. Health risk assessment indicated that wheat and maize pose greater non-cancer and cancer risks than rice. Despite being grown in a highly contaminated region, the study identifies some rice cultivars like Luchai and Sarna as relatively safer options due to a lower accumulation of toxic elements. © 2025 by the authors.","grains; health hazards; mineral; potentiality; toxicity","aluminum; arsenic; barium; bismuth; cadmium; calcium; cerium; chromium; cobalt; copper; erbium; gadolinium; gallium; germanium; heavy metal; iron; lanthanum; lead; lithium; magnesium; manganese; mineral; molybdenum; nickel; phosphorus; potassium; rubidium ion; samarium; selenium; sodium; strontium; terbium; thallium; thorium; tin; titanium; trace element; tungsten; uranium; vanadium; zinc; Article; bioaccumulation; cancer risk; cereal; Chhattisgarh; grain; health hazard; health risk assessment; maize; maximum permissible dose; nonhuman; rice; rice husk; wheat","King Saud University, KSU","The research was funded by Researchers Supporting Project number (RSP2025R119), King Saud University, Riyadh, Saudi Arabia.","","","","","","Article","Final","All Open Access; Gold Open Access; Green Accepted Open Access; Green Open Access","Scopus","2-s2.0-85215760872"
"Gulmira, B.; Abduali, B.; Yilmaz, Y.","Gulmira, Bekenova (56700239400); Abduali, Baeshov (55681362800); Yilmaz, Satilmis (56517015300)","56700239400; 55681362800; 56517015300","Research of nickel's electrochemical property in sulfuric acid solution by using potentiodynamic polarization curve","2015","Oriental Journal of Chemistry","31","1","","141","147","4","10.13005/ojc/310115","https://www.scopus.com/inward/record.uri?eid=2-s2.0-84933052598&doi=10.13005%2Fojc%2F310115&partnerID=40&md5=dd1f27f740a79ecc4b24d154795fe42f","Department of Science Education, SDU University, Kaskelen, Almaty, Kazakhstan","Gulmira, Bekenova, Department of Science Education, SDU University, Kaskelen, Almaty, Kazakhstan; Abduali, Baeshov, Department of Science Education, SDU University, Kaskelen, Almaty, Kazakhstan; Yilmaz, Satilmis, Department of Science Education, SDU University, Kaskelen, Almaty, Kazakhstan","In the presented work in order to deeply study the mechanism of electrode processes that take place while polarizing the nickel electrode in acid solutions by alternating current, potentiodynamic polarization curves were obtained. The detailed study of shapes of polarization curves; their dependence on concentration, temperature, and other physical and chemical parameters, gives opportunity to obtain full information on the nature and kinesthetic of processes taking place on electrode surface. The electrochemical properties of nickel electrode were researched by estimating cyclic potentiodynamic polarization curves in sulfuric acid medium; and the influence of electrolyte concentration, potential giving speed, the temperature of solution on anodic and cathode processes were also studied. The meanings of transfer number (a<inf>n</inf>) and diffusion (D) coefficient, the reaction order of metal ions during the process of nickel electrode's anode corrosion in sulfuric acid solution, and the activation energy is estimated. Result of the calculations showed that nickel's melting process goes in mixed, diffusion-kinetic regime. It was found that the raising of solution's temperature increases the height of corrosion current. The results of the experiments done during the application of cyclic polarization curves showed that the electrochemical processes that take place in polarization by industrial alternating current in anode and cathode half periods is different from those done in stable currentand with more complex mechanism.","Alternating current; Electrodeposition; Nickel electrode; Potentiodynamic polarization curves","","","","","","","","","Article","Final","All Open Access; Hybrid Gold Open Access","Scopus","2-s2.0-84933052598"
