title,authors,year,citations,doi,journal,affiliations,eid
3D U-Net for brain stroke lesion segmentation on ISLES 2018 dataset,"Tursynova, A.; Omarov, B.",2021,33,10.1109/ICECCO53203.2021.9663825,"Proceedings - 2021 16th International Conference on Electronics Computer and Computation, ICECCO 2021","Department of Artificial Intelligence and Big Data, Al Farabi Kazakh National University, Almaty, Kazakhstan; Al Farabi Kazakh National University, Almaty, Kazakhstan",2-s2.0-85124975819
Content and language integrated learning in terms of multilingualism: Kazakhstani experience,"Golovchun, A.; Karimova, B.; Zhunissova, M.; Ospankulova, G.; Mukhamadi, K.",2017,13,,Astra Salvensis,"Kazakh Ablai khan University of International Relations and World languages, Almaty, Kazakhstan",2-s2.0-85038912037
